id,category,teaser,questionType,question,answer,bonusQuestion,bonusAnswer,imageURL,options
1,History,"Ancient Civilizations","fill-in-the-blank","Who is known as the father of geometry?","Euclid","In which country was Euclid born?","Greece","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Euclid.jpg/220px-Euclid.jpg",
2,Science,"Physics","multiple choice","What is the formula for force?","F = ma","Who developed the laws of motion?","Isaac Newton",,"F = ma, F = mv, F = e=mc^2, F = p/t"
3,Geography,"Landmarks","image","Identify this landmark","Eiffel Tower","In which city is the Eiffel Tower located?","Paris","https://upload.wikimedia.org/wikipedia/commons/a/af/Tour_Eiffel_Wikimedia_Commons.jpg",
4,Pop Culture,"Movie Quotes","fill-in-the-blank","Complete this quote: 'May the _____ be with you.'","Force","What franchise is this quote from?","Star Wars",,
5,Art & Literature,"Famous Paintings","image","Identify this famous painting","The Starry Night","Who painted 'The Starry Night'?","Vincent van Gogh","https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Van_Gogh_-_Starry_Night_-_Google_Art_Project.jpg/1280px-Van_Gogh_-_Starry_Night_-_Google_Art_Project.jpg",
6,Sports & Games,"Olympics","true/false","The Olympics originated in ancient Greece","true","Where did the first modern Olympics take place?","Athens",,
7,Mythology & Religion,"Greek Gods","fill-in-the-blank","Who is the Greek god of the underworld?","Hades","Who was Hades' wife?","Persephone","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Hades-et-Pers%C3%A9phone_%28Meyers%29.jpg/800px-Hades-et-Pers%C3%A9phone_%28Meyers%29.jpg",
8,Music,"Classic Rock","multiple choice","Which band released the album 'Dark Side of the Moon'?","Pink Floyd","Who was the lead singer of Pink Floyd?","Roger Waters",,"Pink Floyd, Led Zeppelin, The Beatles, Queen"
9,Movies & TV,"Famous Characters","fill-in-the-blank","What is the real name of the superhero known as Batman?","Bruce Wayne","Who played Batman in 'The Dark Knight' trilogy?","Christian Bale",,
10,Technology,"Inventions","true/false","The telephone was invented by Alexander Graham Bell","true","What year was the telephone invented?","1876",,
11,Food & Drink,"Popular Dishes","multiple choice","What is the main ingredient in guacamole?","Avocado","Which cuisine is guacamole associated with?","Mexican",,"Avocado, Tomato, Potato, Onion"
12,Nature & Environment,"Animals","image","Identify this animal","Giant Panda","What is the primary diet of a Giant Panda?","Bamboo","https://upload.wikimedia.org/wikipedia/commons/0/0f/Grosser_Panda.JPG",
